store_id,product_id,quantity,closing_stock,opening_stock,inventory_date
1,2001,7,61,68,31/03/2026
1,2002,8,29,37,31/03/2026
1,2003,10,42,52,31/03/2026
1,2004,16,70,86,31/03/2026
1,2005,10,83,93,31/03/2026
1,2006,8,70,78,31/03/2026
1,2007,9,23,32,31/03/2026
1,2008,13,58,71,31/03/2026
1,2009,11,28,39,31/03/2026
1,2010,6,89,95,31/03/2026
1,2011,2,92,94,31/03/2026
1,2012,15,62,77,31/03/2026
1,2013,6,27,33,31/03/2026
1,2014,7,62,69,31/03/2026
1,2015,4,90,94,31/03/2026
1,2016,10,78,88,31/03/2026
1,2017,9,13,22,31/03/2026
1,2018,8,54,62,31/03/2026
1,2019,6,72,78,31/03/2026
1,2020,4,70,74,31/03/2026
1,2021,4,58,62,31/03/2026
1,2022,5,44,49,31/03/2026
1,2023,14,82,96,31/03/2026
1,2024,7,66,73,31/03/2026
1,2025,19,47,66,31/03/2026
1,2026,12,30,42,31/03/2026
1,2027,16,31,47,31/03/2026
1,2028,8,90,98,31/03/2026
1,2029,12,50,62,31/03/2026
1,2030,5,37,42,31/03/2026
1,2031,10,59,69,31/03/2026
1,2032,7,68,75,31/03/2026
1,2033,9,44,53,31/03/2026
1,2034,8,54,62,31/03/2026
1,2035,7,72,79,31/03/2026
1,2036,5,16,21,31/03/2026
1,2037,11,12,23,31/03/2026
1,2038,9,50,59,31/03/2026
1,2039,9,70,79,31/03/2026
1,2040,15,27,42,31/03/2026
1,2041,7,18,25,31/03/2026
1,2042,13,86,99,31/03/2026
1,2043,6,87,93,31/03/2026
1,2044,7,69,76,31/03/2026
1,2045,13,13,26,31/03/2026
1,2046,3,94,97,31/03/2026
1,2047,10,34,44,31/03/2026
1,2048,9,32,41,31/03/2026
1,2049,7,61,68,31/03/2026
1,2050,8,82,90,31/03/2026
1,2051,14,17,31,31/03/2026
1,2052,5,63,68,31/03/2026
1,2053,10,55,65,31/03/2026
1,2054,11,79,90,31/03/2026
1,2055,11,41,52,31/03/2026
1,2056,17,4,21,31/03/2026
1,2057,10,51,61,31/03/2026
1,2058,15,77,92,31/03/2026
1,2059,5,48,53,31/03/2026
1,2060,14,32,46,31/03/2026
1,2061,5,76,81,31/03/2026
1,2062,14,62,76,31/03/2026
1,2063,6,26,32,31/03/2026
1,2064,8,91,99,31/03/2026
1,2065,11,16,27,31/03/2026
1,2066,15,22,37,31/03/2026
1,2067,9,77,86,31/03/2026
1,2068,10,58,68,31/03/2026
1,2069,9,90,99,31/03/2026
1,2070,5,17,22,31/03/2026
1,2071,12,88,100,31/03/2026
1,2072,11,13,24,31/03/2026
1,2073,6,48,54,31/03/2026
1,2074,7,57,64,31/03/2026
1,2075,14,63,77,31/03/2026
1,2076,18,25,43,31/03/2026
1,2077,12,39,51,31/03/2026
1,2078,8,75,83,31/03/2026
1,2079,9,58,67,31/03/2026
1,2080,12,61,73,31/03/2026
1,2081,6,72,78,31/03/2026
1,2082,8,64,72,31/03/2026
1,2083,11,74,85,31/03/2026
1,2084,2,90,92,31/03/2026
1,2085,8,50,58,31/03/2026
1,2086,20,60,80,31/03/2026
1,2087,11,21,32,31/03/2026
1,2088,4,55,59,31/03/2026
1,2089,14,22,36,31/03/2026
1,2090,10,82,92,31/03/2026
1,2091,4,96,100,31/03/2026
1,2092,5,61,66,31/03/2026
1,2093,16,80,96,31/03/2026
1,2094,6,53,59,31/03/2026
1,2095,12,39,51,31/03/2026
1,2096,13,62,75,31/03/2026
1,2097,11,61,72,31/03/2026
1,2098,7,28,35,31/03/2026
1,2099,10,36,46,31/03/2026
1,2100,14,11,25,31/03/2026
1,2101,13,13,26,31/03/2026
1,2102,8,29,37,31/03/2026
1,2103,13,29,42,31/03/2026
1,2104,7,17,24,31/03/2026
1,2105,14,67,81,31/03/2026
1,2106,10,27,37,31/03/2026
1,2107,11,76,87,31/03/2026
1,2108,8,79,87,31/03/2026
1,2109,18,31,49,31/03/2026
1,2110,7,77,84,31/03/2026
1,2111,5,17,22,31/03/2026
1,2112,5,67,72,31/03/2026
1,2113,12,47,59,31/03/2026
1,2114,6,35,41,31/03/2026
1,2115,12,40,52,31/03/2026
1,2116,4,52,56,31/03/2026
1,2117,13,27,40,31/03/2026
1,2118,13,18,31,31/03/2026
1,2119,11,77,88,31/03/2026
1,2120,5,80,85,31/03/2026
2,2001,9,29,38,31/03/2026
2,2002,13,66,79,31/03/2026
2,2003,14,8,22,31/03/2026
2,2004,6,26,32,31/03/2026
2,2005,11,20,31,31/03/2026
2,2006,3,77,80,31/03/2026
2,2007,9,90,99,31/03/2026
2,2008,7,44,51,31/03/2026
2,2009,10,50,60,31/03/2026
2,2010,5,40,45,31/03/2026
2,2011,10,39,49,31/03/2026
2,2012,10,19,29,31/03/2026
2,2013,5,50,55,31/03/2026
2,2014,13,18,31,31/03/2026
2,2015,7,45,52,31/03/2026
2,2016,7,83,90,31/03/2026
2,2017,8,30,38,31/03/2026
2,2018,8,24,32,31/03/2026
2,2019,11,19,30,31/03/2026
2,2020,10,34,44,31/03/2026
2,2021,9,86,95,31/03/2026
2,2022,10,89,99,31/03/2026
2,2023,16,38,54,31/03/2026
2,2024,12,73,85,31/03/2026
2,2025,14,70,84,31/03/2026
2,2026,4,36,40,31/03/2026
2,2027,11,69,80,31/03/2026
2,2028,19,76,95,31/03/2026
2,2029,10,76,86,31/03/2026
2,2030,11,70,81,31/03/2026
2,2031,10,18,28,31/03/2026
2,2032,14,22,36,31/03/2026
2,2033,12,36,48,31/03/2026
2,2034,16,25,41,31/03/2026
2,2035,11,89,100,31/03/2026
2,2036,7,83,90,31/03/2026
2,2037,11,45,56,31/03/2026
2,2038,12,83,95,31/03/2026
2,2039,5,33,38,31/03/2026
2,2040,12,88,100,31/03/2026
2,2041,7,23,30,31/03/2026
2,2042,13,80,93,31/03/2026
2,2043,16,61,77,31/03/2026
2,2044,5,70,75,31/03/2026
2,2045,9,23,32,31/03/2026
2,2046,13,85,98,31/03/2026
2,2047,9,32,41,31/03/2026
2,2048,10,51,61,31/03/2026
2,2049,9,62,71,31/03/2026
2,2050,7,84,91,31/03/2026
2,2051,7,28,35,31/03/2026
2,2052,7,31,38,31/03/2026
2,2053,6,63,69,31/03/2026
2,2054,16,78,94,31/03/2026
2,2055,14,80,94,31/03/2026
2,2056,6,77,83,31/03/2026
2,2057,6,89,95,31/03/2026
2,2058,5,67,72,31/03/2026
2,2059,12,36,48,31/03/2026
2,2060,16,22,38,31/03/2026
2,2061,11,29,40,31/03/2026
2,2062,14,43,57,31/03/2026
2,2063,16,54,70,31/03/2026
2,2064,6,35,41,31/03/2026
2,2065,11,20,31,31/03/2026
2,2066,9,64,73,31/03/2026
2,2067,6,85,91,31/03/2026
2,2068,8,34,42,31/03/2026
2,2069,6,83,89,31/03/2026
2,2070,9,17,26,31/03/2026
2,2071,17,42,59,31/03/2026
2,2072,9,80,89,31/03/2026
2,2073,13,87,100,31/03/2026
2,2074,2,94,96,31/03/2026
2,2075,7,78,85,31/03/2026
2,2076,9,35,44,31/03/2026
2,2077,9,90,99,31/03/2026
2,2078,4,32,36,31/03/2026
2,2079,6,77,83,31/03/2026
2,2080,10,16,26,31/03/2026
2,2081,7,22,29,31/03/2026
2,2082,7,70,77,31/03/2026
2,2083,13,10,23,31/03/2026
2,2084,11,85,96,31/03/2026
2,2085,10,79,89,31/03/2026
2,2086,10,88,98,31/03/2026
2,2087,1,96,97,31/03/2026
2,2088,9,65,74,31/03/2026
2,2089,17,12,29,31/03/2026
2,2090,10,25,35,31/03/2026
2,2091,8,80,88,31/03/2026
2,2092,15,48,63,31/03/2026
2,2093,13,34,47,31/03/2026
2,2094,10,41,51,31/03/2026
2,2095,10,11,21,31/03/2026
2,2096,7,64,71,31/03/2026
2,2097,7,28,35,31/03/2026
2,2098,5,83,88,31/03/2026
2,2099,12,50,62,31/03/2026
2,2100,8,84,92,31/03/2026
2,2101,7,76,83,31/03/2026
2,2102,5,28,33,31/03/2026
2,2103,9,81,90,31/03/2026
2,2104,6,18,24,31/03/2026
2,2105,9,66,75,31/03/2026
2,2106,19,29,48,31/03/2026
2,2107,8,90,98,31/03/2026
2,2108,5,73,78,31/03/2026
2,2109,5,80,85,31/03/2026
2,2110,14,60,74,31/03/2026
2,2111,6,28,34,31/03/2026
2,2112,11,64,75,31/03/2026
2,2113,8,22,30,31/03/2026
2,2114,11,56,67,31/03/2026
2,2115,13,87,100,31/03/2026
2,2116,8,54,62,31/03/2026
2,2117,8,59,67,31/03/2026
2,2118,7,20,27,31/03/2026
2,2119,6,80,86,31/03/2026
2,2120,5,67,72,31/03/2026
3,2001,15,79,94,31/03/2026
3,2002,6,28,34,31/03/2026
3,2003,10,45,55,31/03/2026
3,2004,11,59,70,31/03/2026
3,2005,6,77,83,31/03/2026
3,2006,12,88,100,31/03/2026
3,2007,8,80,88,31/03/2026
3,2008,12,84,96,31/03/2026
3,2009,17,42,59,31/03/2026
3,2010,9,12,21,31/03/2026
3,2011,8,85,93,31/03/2026
3,2012,10,11,21,31/03/2026
3,2013,8,88,96,31/03/2026
3,2014,10,46,56,31/03/2026
3,2015,7,54,61,31/03/2026
3,2016,6,63,69,31/03/2026
3,2017,17,62,79,31/03/2026
3,2018,6,43,49,31/03/2026
3,2019,21,11,32,31/03/2026
3,2020,7,64,71,31/03/2026
3,2021,9,16,25,31/03/2026
3,2022,10,90,100,31/03/2026
3,2023,10,20,30,31/03/2026
3,2024,8,26,34,31/03/2026
3,2025,6,68,74,31/03/2026
3,2026,10,49,59,31/03/2026
3,2027,12,61,73,31/03/2026
3,2028,14,76,90,31/03/2026
3,2029,10,65,75,31/03/2026
3,2030,17,25,42,31/03/2026
3,2031,12,26,38,31/03/2026
3,2032,9,82,91,31/03/2026
3,2033,11,9,20,31/03/2026
3,2034,5,75,80,31/03/2026
3,2035,6,53,59,31/03/2026
3,2036,9,66,75,31/03/2026
3,2037,12,40,52,31/03/2026
3,2038,10,40,50,31/03/2026
3,2039,13,73,86,31/03/2026
